Item Code,Count 1,Count 2,Count 3,Theoretical
CHNL-25-30N,0.00,0.00,0.00,0.00
CHNL-25-60N,0.00,0.00,0.00,0.00
CHNL-25-65N,1.00,1.00,1.00,1.00
CLAMP-BACPLATE,0.00,0.00,0.00,358.00
CLAMP-BEVPLA,0.00,0.00,0.00,0.00
CLAMP-DOMPLA,0.00,0.00,0.00,0.00
CLAMP-FDOMPLA,0.00,0.00,0.00,0.00
CLAMP-LANPLA,0.00,0.00,0.00,0.00
CLAMPZ-PLATE,108.00,108.00,108.00,108.00
CLV-BLKCAT,12.00,12.00,12.00,12.00
CLV-BTMK-2100,11.00,11.00,11.00,11.00
CLV-BTMK-2100BR,0.00,0.00,0.00,0.00
CLV-BTMK-2400,0.00,0.00,0.00,0.00
CLV-BTMK-2400BR,0.00,0.00,0.00,0.00
CLV-BTMK-3000,4.00,4.00,4.00,4.00
CLV-BTMK-3000BR,0.00,0.00,0.00,0.00
CLV-BTMK-3000N,0.00,0.00,0.00,0.00
CLV-BTMK-3600,0.00,0.00,0.00,0.00
CLV-BTMK-3600BR,0.00,0.00,0.00,0.00
CLV-BTMK-3600CH,0.00,0.00,0.00,0.00
CLV-BTMK-4200,0.00,0.00,0.00,0.00
CLV-BTMK-4200BR,0.00,0.00,0.00,0.00
CLV-BTMK-5100,0.00,0.00,0.00,0.00
CLV-BTMK-5100BR,0.00,0.00,0.00,0.00
CLV-BTMK-5100N,0.00,0.00,0.00,0.00
CLV-BTMK-5900,0.00,0.00,0.00,0.00
CLV-BTMK-5900BR,0.00,0.00,0.00,0.00
CLV-BTMK-7200,7.00,7.00,7.00,7.00
CLV-BTMK-7200BR,0.00,0.00,0.00,0.00
CLV-DNUT,0.00,0.00,0.00,1.00
CLV-GH,22.00,22.00,22.00,22.00
CLV-GH-BRN,0.00,0.00,0.00,0.00
CLV-LH,4.00,4.00,4.00,4.00
CLV-LH-BRN,0.00,0.00,0.00,0.00
CLV-LH-EXH,0.00,0.00,0.00,0.00
CLV-LP,16.00,16.00,16.00,16.00
CLV-LP-BRN,0.00,0.00,0.00,0.00
CLV-LPIN-EXL,0.00,0.00,0.00,4.00
CLV-MH,0.00,0.00,0.00,0.00
CLV-MH-CB,4.00,4.00,4.00,23.00
CLV-MH-CB-BRN,0.00,0.00,0.00,0.00
CLV-MH-CS,17.00,17.00,17.00,3.00
CLV-MH-CS-BRN,0.00,0.00,0.00,0.00
