Item Code,Bin
ARE-TR-21WH,Metal Bulk 3
ARE-TR-30BL,Metal Bulk 3
ARE-TR-36BR,Metal Bulk 3
ARE-TR-51BR,Metal Bulk 3
ARE-TR-51CH,Metal Bulk 3
ARE-TR-51N,Metal Bulk 3
ARE-TR-51WH,Metal Bulk 3
ARE-TR-72BL,Metal Bulk 3
ARE-TR-72CH,Metal Bulk 3
ARE-TR-72N,Metal Bulk 3
ARE-TR-72WH,Metal Bulk 3
ARE-TR-M2100,Metal Bulk 3
ARE-TR-M7200,Metal Bulk 3
CLV-BTMK-2100,Metal Bulk 3
CLV-BTMK-3000,Metal Bulk 3
CLV-BTMK-3600,Metal Bulk 3
CLV-BTMK-3600CH,Metal Bulk 3
CLV-BTMK-5100,Metal Bulk 3
CLV-TOPK-3000,Metal Bulk 3
CLV-TOPK-3600,Metal Bulk 3
CLV-TOPK-4200CH,Metal Bulk 3
CLV-TOPK-5100,Metal Bulk 3
CLV-TOPK-7200,Metal Bulk 3
SB25-1500N,Metal Bulk 3
SB25-2000N,Metal Bulk 3
SB25-3000N,Metal Bulk 3
SB25-6000N,Metal Bulk 3
ARE-RO-M5100,Metal Bulk 3
ARE-TR-M5100,Metal Bulk 3
CLV-SIDK-3000,Metal Bulk 3
CLV-SIDK-6000,Metal Bulk 3
CLV-TOPK-2100,Metal Bulk 3
CLV-BTMK-7200,Metal Bulk 3
MP-CHNL-3000N,Metal Bulk 3
MPF-5100N,Metal Bulk 3
MPW-6000N,Metal Bulk 3
RB10-M3000,Metal Bulk 3
ARE-BL-M3000,Metal Bulk 4
ARE-CC-51N,Metal Bulk 4
ARE-CC-M5100,Metal Bulk 4
ARE-EP-M3150,Metal Bulk 4
ARE-RB-M2100,Metal Bulk 4
ARE-RB-M3000,Metal Bulk 4
ARE-RB-M5100,Metal Bulk 4
ARE-RB-M7200,Metal Bulk 4
ARE-RC-21BL,Metal Bulk 4
ARE-RC-21BR,Metal Bulk 4
ARE-RC-21CH,Metal Bulk 4
ARE-RC-30BL,Metal Bulk 4
ARE-RC-30BR,Metal Bulk 4
ARE-RC-30CH,Metal Bulk 4
ARE-RC-30WH,Metal Bulk 4
