Code,Bin Name,COUNT 1,COUNT 2,COUNT 3
GSH-293W,Hardware 4,,,
GSH-201,Hardware 1,,,
GSH-201,Bulk Hardware 1,,,
GSH-201,Bulk Hardware 2,,,
GSH-202,Hardware 1,,,
GSH-202,Bulk Hardware 1,,,
GSH-202,Bulk Hardware 2,,,
GSH-203,Hardware 1,,,
GSH-203,Bulk Hardware 1,,,
GSH-203,Bulk Hardware 2,,,
GSH-203-FIN,Hardware 3,,,
GSH-203G,Hardware 1,,,
GSH-203G,Bulk Hardware 1,,,
GSH-203G,Bulk Hardware 2,,,
GSH-203W,Hardware 1,,,
GSH-203W,Bulk Hardware 1,,,
GSH-203W,Bulk Hardware 2,,,
GSH-211,Hardware 4,,,
GSH-212,Hardware 4,,,
GSH-213,Hardware 4,,,
GSH-283,Hardware 4,,,
SH-J103,Hardware 1,,,
SH-J82,Hardware 1,,,
SH-J82,Bulk Hardware 1,,,
SH-J82,Bulk Hardware 2,,,
SH-J83,Hardware 1,,,
SH-J83,Bulk Hardware 1,,,
SH-J83,Bulk Hardware 2,,,
STA-GPS,Hardware 3,,,
STA-SC-GM,Bulk Hardware 1,,,
STA-SC-GM,Bulk Hardware 2,,,
STA-SC-WM,Bulk Hardware 1,,,
STA-SC-WM,Bulk Hardware 2,,,
DK-291,Hardware 4,,,
DK-291A,Hardware 4,,,
DK-291A,Bulk Hardware 1,,,
DK-291A,Bulk Hardware 2,,,
DK-292A,Hardware 4,,,
BHDR-1000B,Loose MetalÊ,,,
BHDR-1000MB,Loose MetalÊ,,,
BHDR-1000N,Loose MetalÊ,,,
BHDR-1500B,Loose MetalÊ,,,
BHDR-1500MB,Loose MetalÊ,,,
BHDR-1500N,Loose MetalÊ,,,
DLS-HDR-1000B,Loose MetalÊ,,,
DLS-HDR-1000N,Loose MetalÊ,,,
DLS-HDR-1500B,Loose MetalÊ,,,
DLS-HDR-1500N,Loose MetalÊ,,,
SLHR-1000B,Loose MetalÊ,,,
SLHR-1000N,Loose MetalÊ,,,
SLHR-1500B,Loose MetalÊ,,,
SLHR-1500N,Loose MetalÊ,,,
BCP-1000B,Loose MetalÊ,,,
BCP-1000N,Loose MetalÊ,,,
BCP-1500B,Loose MetalÊ,,,
BCP-1500N,Loose MetalÊ,,,
HMP-1000,Loose MetalÊ,,,
HMP-1500,Loose MetalÊ,,,
MCP-1001A,Loose MetalÊ,,,
MCP-1001B,Loose MetalÊ,,,
MCP-1001MB,Loose MetalÊ,,,
MCP-1001N,Loose MetalÊ,,,
MCP-1501A,Loose MetalÊ,,,
MCP-1501B,Loose MetalÊ,,,
MCP-1501MB,Loose MetalÊ,,,
MCP-1501N,Loose MetalÊ,,,
SLW-0750B,Loose MetalÊ,,,
SLW-0750N,Loose MetalÊ,,,
SLW-1000B,Loose MetalÊ,,,
SLW-1000MB,Loose MetalÊ,,,
SLW-1000N,Loose MetalÊ,,,
SLW-1500B,Loose MetalÊ,,,
SLW-1500N,Loose MetalÊ,,,
CHNL-21-10N,Loose MetalÊ,,,
I-CHL-8-10B,Loose MetalÊ,,,
I-CHL-8-10MB,Loose MetalÊ,,,
I-CHL-8-10N,Loose MetalÊ,,,
I-CHL-8-15B,Loose MetalÊ,,,
I-CHL-8-15MB,Loose MetalÊ,,,
I-CHL-8-15N,Loose MetalÊ,,,
U-CHL-10-10B,Loose MetalÊ,,,
U-CHL-10-10BR,Loose MetalÊ,,,
U-CHL-10-10MB,Loose MetalÊ,,,
U-CHL-10-10N,Loose MetalÊ,,,
U-CHL-10-15B,Loose MetalÊ,,,
U-CHL-10-15MB,Loose MetalÊ,,,
U-CHL-10-15N,Loose MetalÊ,,,
AIA12-2000B,Loose Metal 2,,,
AIA12-3000B,Loose Metal 2,,,
AIA15-2000B,Loose Metal 2,,,
AIA15-3000B,Loose Metal 2,,,
AIA25-2000B,Loose Metal 2,,,
AIA25-3000B,Loose Metal 2,,,
FLB10-2000B,Loose Metal 2,,,
FLB10-3000B,Loose Metal 2,,,
FLB12-2000B,Loose Metal 2,,,
FLB12-3000B,Loose Metal 2,,,
FLB15-2000B,Loose Metal 2,,,
FLB15-3000B,Loose Metal 2,,,
FLB19-2000B,Loose Metal 2,,,
FLB19-3000B,Loose Metal 2,,,
FLB25-2000B,Loose Metal 2,,,
FLB25-3000B,Loose Metal 2,,,
WB-2500N,Loose Metal 2,,,
TCB-1000N,Loose MetalÊ,,,
TCF-1000N,Loose MetalÊ,,,
TCF-1500N,Loose MetalÊ,,,
SB19-1000B,Loose MetalÊ,,,
SB19-1000MB,Loose MetalÊ,,,
SB19-1000N,Loose MetalÊ,,,
SB19-1500AB,Loose MetalÊ,,,
SB19-1500B,Loose MetalÊ,,,
SB19-1500MB,Loose MetalÊ,,,
SB19-1500N,Loose MetalÊ,,,
ST19-1000B,Loose MetalÊ,,,
ST19-1500B,Loose MetalÊ,,,
SM090-08B,Bulk Seals,,,
SM090-08B,Loose Seals,,,
SM090-10B,Bulk Seals,,,
SM090-10B,Loose Seals,,,
SM135-06B,Bulk Seals,,,
SM135-06B,Loose Seals,,,
SM135-08B,Bulk Seals,,,
SM135-08B,Loose Seals,,,
SM135-10B,Bulk Seals,,,
SM135-10B,Loose Seals,,,
SM180-06B,Bulk Seals,,,
SM180-06B,Loose Seals,,,
SM180-08B,Bulk Seals,,,
SM180-08B,Loose Seals,,,
SM180-10B,Bulk Seals,,,
SM180-10B,Loose Seals,,,
TSS-008A-10,Bulk Seals,,,
TSS-008A-10,Loose Seals,,,
TSS-008A-12,Bulk Seals,,,
TSS-008A-12,Loose Seals,,,
TSS-008A-6,Bulk Seals,,,
TSS-008A-6,Loose Seals,,,
TSS-008A-8,Bulk Seals,,,
TSS-008A-8,Loose Seals,,,
TSS-008B-10,Bulk Seals,,,
TSS-008B-10,Loose Seals,,,
TSS-008B-8,Bulk Seals,,,
TSS-008B-8,Loose Seals,,,
TSS-008C-10,Bulk Seals,,,
TSS-008C-10,Loose Seals,,,
TSS-008C-6,Bulk Seals,,,
TSS-008C-6,Loose Seals,,,
TSS-008C-8,Bulk Seals,,,
TSS-008C-8,Loose Seals,,,
PSS-003-8,Bulk Seals,,,
PSS-003-8,Loose Seals,,,
PSS-003A-8,Bulk Seals,,,
PSS-003A-8,Loose Seals,,,
PSS-009B1-10,Bulk Seals,,,
PSS-009B1-10,Loose Seals,,,
PSS-009B1-8,Bulk Seals,,,
PSS-009B1-8,Loose Seals,,,
PUV-003-10,Loose Seals,,,
PUV-003-10,Bulk Seals,,,
PUV-003A-10,Bulk Seals,,,
PUV-003A-10,Loose Seals,,,
IS-180-10,Bulk Seals,,,
